City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Ormara,PK,2021-11-28 01:09:15,25.2088,64.6357,75.36,39,0,8.05,clear sky
53,Lokoja,NG,2021-11-28 01:09:15,7.8024,6.743,77.92,51,99,3.65,overcast clouds
54,Brazzaville,CG,2021-11-28 01:09:16,-4.2658,15.2832,71.47,96,54,2.55,broken clouds
55,Chikwawa,MW,2021-11-28 01:09:16,-16.0335,34.8009,67.48,83,11,4.16,few clouds
56,Manbij,SY,2021-11-28 01:09:16,36.5281,37.9549,52.57,66,100,5.97,overcast clouds
57,Williamsport,US,2021-11-28 01:06:47,41.2412,-77.0011,30.22,64,75,0.0,broken clouds
58,Arraial Do Cabo,BR,2021-11-28 01:05:53,-22.9661,-42.0278,71.87,92,91,9.71,overcast clouds
59,Kavieng,PG,2021-11-28 01:07:20,-2.5744,150.7967,84.25,67,97,2.53,overcast clouds
60,Port Alfred,ZA,2021-11-28 01:09:17,-33.5906,26.891,66.07,71,96,9.82,overcast clouds
61,Puerto Ayora,EC,2021-11-28 01:09:18,-0.7393,-90.3518,68.85,80,98,8.7,overcast clouds
62,Tessalit,ML,2021-11-28 01:08:14,20.1986,1.0114,74.5,22,5,4.52,clear sky
63,Atuona,PF,2021-11-28 01:09:18,-9.8,-139.0333,78.53,72,99,19.39,overcast clouds
64,Miranda,CO,2021-11-28 01:09:19,3.2499,-76.2281,71.73,92,100,5.21,overcast clouds
65,Khatanga,RU,2021-11-28 01:07:54,71.9667,102.5,-8.36,93,100,13.15,overcast clouds
66,Adzope,CI,2021-11-28 01:09:19,6.1069,-3.8619,73.63,96,39,2.57,scattered clouds
67,Carauari,BR,2021-11-28 01:09:19,-4.8828,-66.8958,75.7,96,94,2.08,overcast clouds
68,Lianzhou,CN,2021-11-28 01:09:20,24.7811,112.3825,58.42,67,31,3.49,scattered clouds
69,Ferrandina,IT,2021-11-28 01:09:20,40.5012,16.4547,50.67,68,19,11.61,few clouds
70,Codrington,AU,2021-11-28 01:09:21,-38.2667,141.9667,65.59,52,0,9.73,clear sky
71,Babol,IR,2021-11-28 01:09:21,36.5513,52.679,52.52,85,47,5.28,scattered clouds
72,Hami,CN,2021-11-28 01:09:21,42.8,93.45,24.22,72,78,10.42,broken clouds
73,Changying,CN,2021-11-28 01:09:22,52.8733,123.3213,12.33,77,100,4.27,overcast clouds
74,Cape Town,ZA,2021-11-28 01:04:31,-33.9258,18.4232,62.98,95,100,15.1,light rain
75,Bambous Virieux,MU,2021-11-28 01:09:22,-20.3428,57.7575,71.85,88,20,5.75,few clouds
76,Saint-Francois,FR,2021-11-28 01:09:23,46.4154,3.9054,35.04,93,90,8.05,overcast clouds
77,Pervomayskoye,RU,2021-11-28 01:09:23,43.919,46.7102,42.57,94,100,5.01,overcast clouds
78,Tasiilaq,GL,2021-11-28 01:08:09,65.6145,-37.6368,28.56,90,100,10.71,light snow
79,Kapaa,US,2021-11-28 01:07:03,22.0752,-159.319,80.92,57,1,14.97,clear sky
80,Burgos,ES,2021-11-28 01:09:24,42.3394,-3.7079,30.61,100,90,5.75,snow
81,Ponta Do Sol,PT,2021-11-28 01:09:24,32.6667,-17.1,63.23,77,23,5.46,few clouds
82,Ayagoz,KZ,2021-11-28 01:09:24,47.9714,80.4392,0.27,80,0,5.41,clear sky
83,Nemuro,JP,2021-11-28 01:09:25,43.3236,145.575,38.93,59,82,16.2,broken clouds
84,Homer,US,2021-11-28 01:09:25,59.6425,-151.5483,15.67,62,90,0.0,overcast clouds
85,Prince Rupert,CA,2021-11-28 01:09:26,54.3161,-130.3201,50.09,81,90,20.71,overcast clouds
86,Springbok,ZA,2021-11-28 01:09:26,-29.6643,17.8865,54.14,80,100,7.11,overcast clouds
87,Genhe,CN,2021-11-28 01:09:26,50.7833,121.5167,14.56,90,100,2.91,overcast clouds
88,Fundata,RO,2021-11-28 01:09:27,45.4367,25.2751,35.2,90,99,3.67,overcast clouds
89,Aitape,PG,2021-11-28 01:09:27,-3.1374,142.3475,85.08,67,91,1.79,overcast clouds
90,Vanavara,RU,2021-11-28 01:09:27,60.34,102.2797,5.65,95,97,5.48,overcast clouds
91,Ilulissat,GL,2021-11-28 01:08:06,69.2167,-51.1,23.02,63,100,13.8,overcast clouds
92,Barrow,US,2021-11-28 01:09:28,71.2906,-156.7887,-11.18,70,40,0.0,haze
93,Sistranda,NO,2021-11-28 01:08:00,63.7256,8.834,21.16,61,0,5.46,clear sky
94,Port Lincoln,AU,2021-11-28 01:10:28,-34.7333,135.8667,64.89,64,0,9.35,clear sky
95,Dalaba,GN,2021-11-28 01:10:29,10.7,-12.25,65.16,39,100,1.79,overcast clouds
96,Kuantan,MY,2021-11-28 01:10:29,3.8077,103.326,78.3,86,100,3.76,overcast clouds
97,Marsabit,KE,2021-11-28 01:10:30,2.3284,37.9899,65.91,75,92,4.23,light rain
98,Praia Da Vitoria,PT,2021-11-28 01:10:30,38.7333,-27.0667,60.1,68,92,8.7,overcast clouds
99,Hofn,IS,2021-11-28 01:10:30,64.2539,-15.2082,34.03,62,100,21.97,overcast clouds
100,Wladyslawowo,PL,2021-11-28 01:10:31,54.7909,18.4009,33.35,79,100,4.5,light snow
101,Mizdah,LY,2021-11-28 01:10:31,31.4451,12.9801,61.57,57,100,2.57,overcast clouds
